Start Time,End Time
19/09/2016 00:08,19/09/2016 07:20
20/09/2016 02:23,20/09/2016 07:16
20/09/2016 23:31,21/09/2016 06:58
22/09/2016 00:35,22/09/2016 07:15
23/09/2016 00:20,23/09/2016 07:15
25/09/2016 23:20,26/09/2016 07:15
26/09/2016 23:57,27/09/2016 07:05
28/09/2016 00:54,28/09/2016 07:01
29/09/2016 02:38,29/09/2016 07:15
30/09/2016 00:03,30/09/2016 07:15
04/10/2016 00:29,04/10/2016 06:41
04/10/2016 23:20,05/10/2016 07:20
05/10/2016 23:20,06/10/2016 07:20
10/10/2016 23:20,11/10/2016 07:19
12/10/2016 02:12,12/10/2016 07:21
13/10/2016 01:28,13/10/2016 07:20
13/10/2016 23:20,14/10/2016 07:30
16/10/2016 23:20,17/10/2016 07:13
17/10/2016 23:20,18/10/2016 06:31
19/10/2016 23:44,20/10/2016 06:30
20/10/2016 23:28,21/10/2016 04:03
24/10/2016 00:51,24/10/2016 06:30
24/10/2016 23:00,25/10/2016 06:30
25/10/2016 23:12,26/10/2016 06:30
27/10/2016 23:48,27/10/2016 23:59
28/10/2016 00:41,28/10/2016 06:30
31/10/2016 02:10,31/10/2016 06:03
31/10/2016 22:57,01/11/2016 06:30
02/11/2016 03:56,02/11/2016 06:39
03/11/2016 03:09,03/11/2016 06:30
03/11/2016 23:00,04/11/2016 06:30
06/11/2016 22:36,07/11/2016 06:16
07/11/2016 23:06,08/11/2016 06:30
08/11/2016 23:03,09/11/2016 06:30
10/11/2016 01:27,10/11/2016 06:30
10/11/2016 21:13,11/11/2016 06:30
14/11/2016 23:22,15/11/2016 06:30
15/11/2016 22:59,16/11/2016 06:30
17/11/2016 02:24,17/11/2016 06:30
18/11/2016 01:21,18/11/2016 06:30
